HomeTeam,AwayTeam,Day_Eve,Day Type,Hol Type,Capacity,Average Travelling Fans,Cheapest Season T,Home League Position,Away League Position,Form Home,Form Away,Distance,Temperature,Lowest Home Ticket Price,Lowest Away Ticket Price,Attendance,Highest Home Ticket Price
0.085106383,0.872340426,1,1,0,0.557618707,0.721511083,0.370898716,0.833333333,0.458333333,0.444444444,0.555555556,0.142394822,0.720982143,0.333333333,0.4,0.217029805,0.481481481
0.14893617,0.765957447,1,1,0,0.156664003,0.235716516,0.62767475,0.375,0.166666667,0.444444444,0.777777778,0.090614887,0.696428571,0.444444444,0.4,0.154224709,0.481481481
0.191489362,0.489361702,1,1,0,0.350065189,0.817670933,0.427960057,0.416666667,0.5,0.444444444,0.666666667,0.537216828,0.758928571,0.722222222,1,0.353057904,0.703703704
0.234042553,0.744680851,1,1,0,0.043361231,0.295972526,0.302425107,0.75,0.666666667,0.333333333,0.277777778,0.346278317,0.754464286,0.444444444,0.72,0.036075723,0.074074074
0.276595745,0.361702128,1,1,0,0.486814989,0.601623478,0.427960057,0.875,0.916666667,0.222222222,0.111111111,0.391585761,0.756696429,0.333333333,0.304,0.24256856,0.444444444
0.446808511,0.808510638,1,1,0,0.413214451,0.254761161,0.085592011,0.083333333,0.958333333,0.666666667,0.277777778,0.067961165,0.714285714,0.166666667,0.52,0.335377227,0.296296296
0.468085106,0.170212766,1,1,0,0.535412373,0.437402435,0.764621969,0.583333333,0.125,0.444444444,0.555555556,0.310679612,0.756696429,1,0.6,0.264337024,0.666666667
0.617021277,0.404255319,1,1,0,0.541531732,0.24102404,0.62767475,0.625,0.541666667,0.444444444,0.333333333,0.346278317,0.752232143,0.333333333,0.4,0.30719927,0.481481481
0.978723404,1,1,1,0,0.426525634,0.382453949,0.085592011,1,0.333333333,0.055555556,0.555555556,0.216828479,0.727678571,0.555555556,0.8,0.174941461,0.296296296
0.553191489,0.595744681,1,1,0,1,0.4530128,0.796005706,0.208333333,0.041666667,0.722222222,0.722222222,0.647249191,0.783482143,0.666666667,0.4,0.919335635,0.555555556
0.063829787,0.085106383,0,0,0,0.529208899,0.285669685,0.231098431,0.291666667,0.916666667,0.666666667,0.388888889,0.284789644,0.595982143,0.166666667,0.48,0.295154185,0.666666667
0.14893617,0.978723404,0,0,0,0.156664003,0.335310646,0.62767475,0.208333333,0.875,0.611111111,0.222222222,0.553398058,0.660714286,0.444444444,0.4,0.15160535,0.481481481
0.191489362,0.617021277,0,0,0,0.350065189,0.428036216,0.427960057,0.25,0.625,0.611111111,0.333333333,0.385113269,0.647321429,0.722222222,0.32,0.337639402,0.703703704
0.234042553,0.276595745,0,0,0,0.043361231,0.176397128,0.302425107,0.75,0.958333333,0.333333333,0.166666667,0.362459547,0.607142857,0.444444444,0.48,0.049986109,0.074074074
0.404255319,0.744680851,0,0,0,0.438448921,0.295972526,0.29957204,0.5,0.666666667,0.333333333,0.333333333,0,0.680803571,0.722222222,0.72,0.351271977,0.851851852
0.468085106,0.446808511,0,0,0,0.535412373,0.276303466,0.764621969,0.541666667,0.041666667,0.444444444,0.666666667,0.527508091,0.669642857,1,0.4,0.282553479,0.666666667
0.489361702,0.042553191,0,0,0,0.694789082,0.301904465,0.710413695,0.583333333,0.416666667,0.5,0.555555556,0.045307443,0.629464286,1,0.52,0.504881534,0.740740741
0.723404255,0.021276596,0,0,0,0.413214451,1,0.601997147,0.791666667,0.708333333,0.388888889,0.277777778,0.297734628,0.645089286,0.666666667,0.6,0.313311108,0.296296296
0.765957447,0.361702128,0,0,0,0.406085713,0.601623478,0.5021398,0.375,0.833333333,0.722222222,0.222222222,0.333333333,0.640625,0.444444444,0.304,0.299539628,0.481481481
0.808510638,0.553191489,0,0,0,0.150796989,0.914767406,0.587731812,1,0.125,0.111111111,0.722222222,0.343042071,0.555803571,0.722222222,0.56,0.193396039,0.185185185
0.872340426,0.170212766,0,0,0,0.733523994,0.437402435,0.758915835,0.333333333,0.166666667,0.722222222,0.555555556,0.595469256,0.613839286,0.444444444,0.6,0.470254395,1
1,0.595744681,0,0,0,0.546788914,0.4530128,0.559201141,0.458333333,0.083333333,0.388888889,0.666666667,0.466019417,0.638392857,0.722222222,0.4,0.335079573,0.296296296
0.276595745,0.191489362,1,1,0,0.486814989,0.319388074,0.427960057,0.958333333,0.208333333,0.166666667,0.611111111,0.071197411,0.629464286,0.333333333,0.6,0.41411676,0.444444444
0.617021277,0.063829787,1,1,0,0.541531732,0.509210116,0.62767475,0.75,0.25,0.166666667,0.666666667,0.13592233,0.645089286,0.333333333,0.2,0.34331468,0.481481481
